name,d,v,s,r
Pixel 9 Pro XL,2024-08-22,15,2,1
Pixel 9 Pro,2024-08-22,15,2,1
Pixel 9 Pro Fold,2024-09-04,15,2,1
Pixel 9,2024-08-22,15,2,1
Pixel 8a,2024-05-14,15,2,1
Pixel 8 Pro,2023-10-04,15,2,1
Pixel 8,2023-10-04,15,2,1
Pixel Fold,2023-06-28,15,2,1
Pixel Tablet,2023-06-20,15,2,1
Pixel 7a,2023-05-10,15,2,1
Pixel 7 Pro,2022-10-13,15,2,1
Pixel 7,2022-10-13,15,2,1
Pixel 6a,2022-07-28,15,2,1
Pixel 6 Pro,2021-10-28,15,2,1
Pixel 6,2021-10-28,15,2,1
Pixel 5a,2021-08-17,14,0,1
Pixel 5,2020-10-15,14,0,1
Pixel 4a 5G,2020-11-05,14,0,1
Pixel 4a,2020-08-20,13,0,1
Pixel 4 XL,2019-10-24,13,0,1
Pixel 4,2019-10-24,13,0,1
