name,d,v,s,j
iPhone 16 Pro Max,2024-09-20,18.2,2,
iPhone 16 Pro,2024-09-20,18.2,2,
iPhone 16 Plus,2024-09-20,18.2,2,
iPhone 16,2024-09-20,18.2,2,
iPhone 15 Pro Max,2023-09-22,18.2,2,
iPhone 15 Pro,2023-09-22,18.2,2,
iPhone 15 Plus,2023-09-22,18.2,2,
iPhone 15,2023-09-22,18.2,2,
iPhone 14 Pro Max,2022-09-16,18.2,2,
iPhone 14 Pro,2022-09-16,18.2,2,
iPhone 14 Plus,2022-10-07,18.2,2,
iPhone 14,2022-09-16,18.2,2,
iPhone SE 3,2022-03-18,18.2,2,
iPhone 13 Pro Max,2021-09-24,18.2,2,
iPhone 13 Pro,2021-09-24,18.2,2,
iPhone 13 mini,2021-09-24,18.2,2,
iPhone 13,2021-09-24,18.2,2,
iPhone 12 Pro Max,2020-11-13,18.2,2,
iPhone 12 Pro,2020-10-23,18.2,2,
iPhone 12 mini,2020-11-13,18.2,2,
iPhone 12,2020-10-23,18.2,2,
iPhone SE 2,2020-04-24,18.2,2,
iPhone 11 Pro Max,2019-09-20,18.2,2,
iPhone 11 Pro,2019-09-20,18.2,2,
iPhone 11,2019-09-20,18.2,2,
iPhone XS Max,2018-09-21,17.7.2,1,
iPhone XS,2018-09-21,17.7.2,1,
iPhone XR,2018-10-26,17.7.2,1,
iPhone X,2017-11-03,16.7.10,0,1
iPhone 8 Plus,2017-09-22,16.7.10,0,1
iPhone 8,2017-09-22,16.7.10,0,1
